rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
236,Bugis,to throw,maʔ-dempəʔ,0.57,0.43,1,10,0.3,0,1,1,1,ACTION
237,Wolio,to sit,uncura,0.5692,0.4308,0,6,0.5,1,0,1,0,ACTION
238,Muna,to count,aefeapi,0.5676,0.4324,0,7,0.714,1,0,0,0,ACTION
239,Wolio,old,mancuana,0.5625,0.4375,0,8,0.5,1,0,1,1,QUALITY
240,Makassar,to vomit,laŋŋɛ,0.5606,0.4394,3,5,0.4,1,0,1,0,ACTION
241,Toraja-Sadan,cold,ma-sakkaʔ,0.5572,0.4428,0,9,0.333,0,1,0,1,QUALITY
242,Makassar,to stand,ammenteŋ,0.5553,0.4447,0,8,0.375,0,0,1,0,ACTION
243,Makassar,to hit,annunruŋ,0.5553,0.4447,0,8,0.375,0,0,1,0,ACTION
244,Bugis,to walk,joppa,0.552,0.448,0,5,0.4,1,0,0,0,ACTION
245,Bugis,to walk,jokka,0.552,0.448,0,5,0.4,1,0,0,0,ACTION
246,Bugis,to fly,luttu,0.552,0.448,3,5,0.4,1,0,0,0,ACTION
247,Makassar,fruit,rapporappo,0.5488,0.4512,0,10,0.4,1,0,0,0,NATURE
248,Makassar,sea,tamparaŋ,0.5486,0.4514,0,8,0.375,0,0,1,1,NATURE
249,Tolaki,short,putu,0.5442,0.4558,3,4,0.5,1,0,0,0,QUALITY
250,Makassar,where?,kɛmàɛ,0.5419,0.4581,2,5,0.6,1,0,0,0,GRAMMAR
251,Muna,to cook,aegau,0.538,0.462,0,5,0.8,1,0,0,0,ACTION
252,Wolio,this,sii,0.5364,0.4636,0,3,0.667,1,0,0,0,GRAMMAR
253,Bugis,hair,gəmməʔ,0.5353,0.4647,0,6,0.333,0,1,0,0,BODY
254,Bugis,fat/grease,lunraʔ,0.5353,0.4647,0,6,0.333,0,1,0,0,BODY
255,Bugis,woman/female,makunrai,0.5305,0.4695,0,8,0.5,1,0,0,1,OTHER
256,Makassar,black,lɛʔlɛŋ,0.5234,0.4766,0,6,0.333,0,1,1,0,QUALITY
257,Tolaki,to throw,kali,0.5215,0.4785,1,4,0.5,1,0,0,1,ACTION
258,Makassar,to cry,aŋŋarruʔ,0.5202,0.4798,3,8,0.375,0,1,1,1,ACTION
259,Makassar,to split,ammuɛ,0.5174,0.4826,2,5,0.6,1,0,0,0,ACTION
260,Wolio,sea,andala,0.517,0.483,0,6,0.5,1,0,1,0,NATURE
261,Toraja-Sadan,"no, not",taeʔ,0.5168,0.4832,2,4,0.5,0,1,0,1,GRAMMAR
262,Wolio,to burn,maŋau,0.5143,0.4857,0,5,0.6,1,0,1,1,ACTION
263,Makassar,fire,pɛpɛʔ,0.5113,0.4887,0,5,0.4,0,1,0,0,NATURE
264,Wolio,to bite,bembaru,0.51,0.49,1,7,0.429,1,0,1,0,ACTION
265,Bugis,rotten,ma-kəbboŋ,0.5092,0.4908,3,9,0.333,0,0,1,1,QUALITY
266,Makassar,other,maraɛŋ,0.5027,0.4973,3,6,0.5,0,0,1,1,GRAMMAR
267,Bugis,where?,kegi,0.4984,0.5016,2,4,0.5,1,0,0,0,GRAMMAR
268,Toraja-Sadan,to say,po-kada,0.4968,0.5032,0,7,0.429,1,0,0,1,ACTION
269,Wolio,to come,umba,0.4963,0.5037,0,4,0.5,1,0,1,0,ACTION
270,Wolio,One Thousand,sarewu,0.4961,0.5039,0,6,0.5,1,0,0,0,NUMBER
271,Wolio,to yawn,pomea,0.4918,0.5082,2,5,0.6,1,0,0,1,ACTION
272,Wolio,if,ande,0.4891,0.5109,1,4,0.5,1,0,1,0,GRAMMAR
273,Wolio,dog,mantoa,0.4881,0.5119,0,6,0.5,1,0,1,1,OTHER
