algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
maxent,random,1,9,0.6710107893242476,0.3289892106757524,0.19688036293816796
maxent,random,2,3,0.6465371326255124,0.3534628673744876,0.21467045010449762
maxent,random,2,4,0.6450183779855492,0.3549816220144508,0.21579188826397974
maxent,random,2,5,0.6466523040765507,0.3533476959234493,0.21458549266817328
maxent,random,2,6,0.6614815651290159,0.3385184348709841,0.2037449237931796
maxent,random,2,7,0.6859459149765097,0.3140540850234903,0.18627767488488267
maxent,random,2,8,0.7250344403083506,0.2749655596916494,0.15939714203184208
maxent,random,2,9,0.6889941168029846,0.3110058831970154,0.18413674748950776
maxent,random,3,4,0.6600053591323847,0.3399946408676153,0.20481538749086708
maxent,random,3,5,0.6619507511577997,0.33804924884220033,0.20340509404788198
maxent,random,3,6,0.6340566129412908,0.3659433870587092,0.22394780215112228
maxent,random,3,7,0.7428630656242596,0.25713693437574037,0.1475370839209556
maxent,random,3,8,0.6386746484755673,0.3613253515244327,0.22049853023635158
maxent,random,3,9,0.7255149160741773,0.2744850839258227,0.15907430377380927
maxent,random,4,5,0.7263500630664985,0.2736499369335015,0.15851358469406826
maxent,random,4,6,0.695807520530183,0.304192479469817,0.17937913105534123
maxent,random,4,7,0.6479202542455934,0.3520797457544066,0.2136509608686048
maxent,random,4,8,0.7324227661422075,0.26757723385779253,0.15445261923776185
maxent,random,4,9,0.7187623205759094,0.2812376794240906,0.16362802236079724
maxent,random,5,6,0.6905223548336133,0.30947764516638665,0.18306628379182036
maxent,random,5,7,0.6712243188368758,0.32877568116312417,0.19672743955278404
maxent,random,5,8,0.6908380498175655,0.30916195018243453,0.18284539445737683
maxent,random,5,9,0.717458233019625,0.28254176698037503,0.16451157969857103
maxent,random,6,7,0.657504154110457,0.34249584588954296,0.2066334766282093
maxent,random,6,8,0.7869168526362132,0.21308314736378675,0.11924625762492988
maxent,random,6,9,0.711290744671571,0.28870925532842895,0.16870847705299644
maxent,random,7,8,0.6780383491339368,0.3219616508660632,0.19186787419502832
maxent,random,7,9,0.6931973474114246,0.3068026525885754,0.18119722019268344
maxent,random,8,9,0.7203449283835136,0.2796550716164864,0.16255755866310978
maxent,tgb,0,1,0.6970789238444015,0.3029210761555985,0.1784955737175675
maxent,tgb,0,2,0.6995538357133575,0.3004461642866425,0.1767794335038146
maxent,tgb,0,3,0.6264474229653171,0.3735525770346829,0.22967393335938696
maxent,tgb,0,4,0.739180543447746,0.260819456552254,0.14996686659983346
maxent,tgb,0,5,0.6745767534499929,0.3254232465500071,0.19433163984843593
maxent,tgb,0,6,0.6752440864194017,0.3247559135805983,0.19385587820501926
maxent,tgb,0,7,0.6661617948899426,0.33383820511005735,0.20036361782746848
maxent,tgb,0,8,0.7202443587045481,0.27975564129545194,0.16262552461216934
maxent,tgb,0,9,0.6673654984842905,0.3326345015157095,0.19949705197695952
maxent,tgb,1,2,0.6506240358995933,0.3493759641004067,0.2116629568586139
maxent,tgb,1,3,0.6464450070638262,0.35355499293617376,0.21473841605355715
maxent,tgb,1,4,0.7136576062428116,0.2863423937571884,0.16709428576283283
maxent,tgb,1,5,0.6748865204832306,0.3251134795167694,0.1941107505139925
maxent,tgb,1,6,0.665171813770566,0.334828186229434,0.20107726029259343
maxent,tgb,1,7,0.6365785156141376,0.3634214843858624,0.2220617470647205
maxent,tgb,1,8,0.715555814665287,0.28444418533471305,0.1658029327307019
maxent,tgb,1,9,0.694952840377277,0.305047159622723,0.17997383310961207
maxent,tgb,2,3,0.7429404883538419,0.25705951164615815,0.14748610945916096
maxent,tgb,2,4,0.7054144510931772,0.29458554890682276,0.17273545953477307
maxent,tgb,2,5,0.6981562166373315,0.3018437833626685,0.1777479482779128
maxent,tgb,2,6,0.7738561697510399,0.22614383024896012,0.12748712894839684
maxent,tgb,2,7,0.7431211681426414,0.2568788318573586,0.14736716904830677
maxent,tgb,2,8,0.7213009271445702,0.27869907285542983,0.16191188214704436
maxent,tgb,2,9,0.7239480352095142,0.27605196479048577,0.16012777598423186
maxent,tgb,3,4,0.6840644404383781,0.3159355595616219,0.18760301089154335
maxent,tgb,3,5,0.667625348880042,0.332374651119958,0.19931014561704583
maxent,tgb,3,6,0.7358718735252477,0.26412812647475226,0.15215876845700307
maxent,tgb,3,7,0.7484551396316103,0.25154486036838974,0.14386692267174145
maxent,tgb,3,8,0.6942209427851745,0.30577905721482546,0.1804835777275585
maxent,tgb,3,9,0.735436785845927,0.264563214154073,0.15244762374050602
maxent,tgb,4,5,0.7305633968478005,0.2694366031521995,0.15569299780809817
maxent,tgb,4,6,0.7108927585104218,0.2891072414895782,0.16898034084923455
maxent,tgb,4,7,0.7357694803279655,0.2642305196720345,0.15222673440606257
maxent,tgb,4,8,0.7490786970993818,0.2509213029006182,0.14345912697738436
maxent,tgb,4,9,0.7281242659149636,0.2718757340850364,0.15732418058552664
maxent,tgb,5,6,0.7296987509184423,0.2703012490815577,0.1562707083751041
maxent,tgb,5,7,0.7046734927370418,0.29532650726295817,0.17324520415271946
maxent,tgb,5,8,0.691202459805457,0.308797540194543,0.18259052214840363
